RiskPerformance;ExternalRiskEstimate;MSinceOldestTradeOpen;MSinceMostRecentTradeOpen;AverageMInFile;NumSatisfactoryTrades;NumTrades60Ever2DerogPubRec;NumTrades90Ever2DerogPubRec;PercentTradesNeverDelq;NumTotalTrades;NumTradesOpeninLast12M;PercentInstallTrades;MSinceMostRecentInqexcl7days;NumInqLast6M;NumInqLast6Mexcl7days;NetFractionRevolvingBurden;NetFractionInstallBurden;NumRevolvingTradesWBalance;NumInstallTradesWBalance;NumBank2NatlTradesWHighUtilization;PercentTradesWBalance;MaxDelq2PublicRecLast12M_0;MaxDelq2PublicRecLast12M_1;MaxDelq2PublicRecLast12M_2;MaxDelq2PublicRecLast12M_3;MaxDelq2PublicRecLast12M_4;MaxDelq2PublicRecLast12M_5;MaxDelq2PublicRecLast12M_6;MaxDelq2PublicRecLast12M_7;MaxDelq2PublicRecLast12M_9;MaxDelq2PublicRecLast12M_nan;MaxDelqEver_2;MaxDelqEver_3;MaxDelqEver_4;MaxDelqEver_5;MaxDelqEver_6;MaxDelqEver_7;MaxDelqEver_8;MaxDelqEver_nan
0;58;307;6;79;14;1;0;73;15;2;53;0;0;0;81;75.0;3;3;2;86;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;74;17;17;17;1;0;0;100;1;0;100;0;0;0;57;72.466736;2;3;1;103;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;88;188;13;82;20;0;0;100;20;0;40;0;0;0;17;82.0;2;2;0;50;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;65;107;7;48;40;0;0;100;43;4;42;0;2;2;80;86.0;5;2;4;70;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;74;169;5;78;26;0;0;96;27;2;37;0;1;1;37;91.0;5;4;0;75;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;78;282;2;95;23;0;0;100;24;1;13;0;1;1;22;60.19786;4;1;1;43;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
1;74;378;7;110;41;0;0;98;42;4;57;0;0;0;44;76.0;4;5;2;69;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
1;77;311;11;103;39;0;0;98;42;1;36;0;0;0;46;73.0;5;4;1;69;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
0;67;299;2;79;25;0;0;89;27;3;37;0;11;11;63;63.0;13;3;4;94;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;56;76;6;32;11;2;2;92;14;5;17;0;3;3;83;42.0;5;2;2;100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
1;88;211;20;103;13;0;0;100;14;0;57;4;0;0;0;19.0;2;3;0;71;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;75;169;2;59;21;0;0;100;22;4;36;2;4;4;43;112.0;4;6;0;83;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;66;127;2;69;17;0;0;94;18;4;33;1;3;3;42;81.0;3;4;3;58;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;81;220;2;91;20;0;0;100;23;2;39;4;2;2;36;68.52071;3;1;1;67;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;71;177;8;95;24;0;0;96;24;1;75;2;1;1;87;87.0;4;2;3;100;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
0;69;112;2;43;5;0;0;100;7;2;43;1;1;1;37;58.0;3;2;0;83;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0
1;74;150;13;91;13;1;1;93;14;0;29;3;0;0;36;59.52916;1;1;1;40;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;56;224;21;109;27;1;1;79;28;0;21;2;1;1;101;79.0;15;1;11;94;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;65;243;9;89;23;0;0;83;23;1;52;2;0;0;49;75.0;4;4;1;80;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;92;152;15;154;14;0;0;100;15;0;47;5;0;0;7;79.0;2;2;0;80;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;91;150;3;108;10;0;0;100;11;1;64;4;1;1;2;41.0;1;3;0;67;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;73;183;6;90;19;1;1;100;19;1;32;3;0;0;6;52.0;1;2;0;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;66;255;1;80;14;1;1;88;16;3;69;1;4;4;58;60.0;3;4;1;88;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;87;120;12;59;26;0;0;100;26;0;54;3;1;1;1;63.11588;2;1;0;75;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;64;246;16;106;5;3;3;88;8;0;88;2;1;1;70;144.0;4;4;2;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;63;123;2;40;5;1;1;86;7;4;43;1;0;0;77;76.24878;3;1;1;100;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
1;78;177;1;65;26;0;0;96;28;3;46;3;1;1;4;72.0;4;5;0;64;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;75;212;23;105;11;0;0;82;11;0;45;2;1;1;13;61.569706;1;1;0;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;68;224;9;110;24;5;5;86;29;1;31;3;5;5;5;73.0;2;2;0;71;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;61;208;6;96;24;3;2;74;27;3;63;1;2;2;53;77.0;6;4;2;92;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;63;203;2;79;16;0;0;59;17;1;47;1;3;3;55;77.0;7;3;1;91;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;69;160;5;109;11;1;1;92;13;1;31;2;0;0;94;65.81456;3;2;3;100;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;50;103;4;48;10;7;6;53;17;1;35;0;2;2;37;66.0;5;2;0;80;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;74;159;9;69;26;0;0;100;27;2;48;2;0;0;61;67.0;3;4;2;78;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;65;241;37;95;15;0;0;76;17;0;29;2;1;1;51;43.0;3;1;1;80;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
0;80;203;6;91;15;0;0;100;17;1;29;2;0;0;16;93.0;6;2;1;69;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;61;61;10;41;9;0;0;80;10;1;50;1;2;2;80;95.0;4;3;1;100;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;57;178;2;79;23;0;0;92;26;2;58;1;3;3;57;77.0;5;2;1;100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;59;131;7;81;13;1;0;69;17;1;50;1;2;2;75;67.42195;3;2;1;100;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;71;103;15;94;6;1;0;86;7;0;14;2;0;0;48;57.497364;2;0;0;67;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
1;86;168;15;85;33;0;0;97;34;0;38;4;0;0;3;60.022816;3;2;0;56;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;83;106;3;62;28;0;0;100;28;5;11;3;4;4;17;73.33494;2;1;0;60;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
0;59;198;6;89;29;3;2;79;34;1;38;1;3;3;38;98.0;11;1;1;86;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;59;256;0;50;11;1;0;44;16;1;75;1;1;1;93;74.0;3;6;2;90;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
1;55;203;7;81;19;2;1;86;21;2;33;2;3;3;56;87.0;3;2;1;83;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
1;75;258;28;97;23;0;0;96;24;0;13;4;0;0;31;57.08094;4;1;0;57;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;78;41;3;16;3;0;0;100;3;2;67;2;11;11;0;73.82398;0;1;-1;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;65;14;0;4;3;0;0;100;6;5;33;2;9;9;1;98.0;1;2;0;50;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
1;80;233;3;106;28;0;0;97;30;4;37;2;3;3;4;98.0;4;2;0;86;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;70;252;3;73;20;4;2;88;24;4;67;2;1;1;16;93.0;3;2;0;63;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0;59;445;5;82;20;5;5;78;27;1;67;4;1;1;98;84.0;2;4;2;100;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
0;57;246;4;72;34;2;1;88;40;4;73;2;3;3;12;70.0;3;12;0;89;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
0;77;154;3;55;31;0;0;100;32;6;63;2;2;1;26;74.0;5;14;0;86;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;65;37;13;24;11;0;0;100;11;0;27;3;4;4;81;62.773262;6;1;2;88;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;67;97;2;46;8;0;0;100;9;1;33;0;1;1;66;48.0;5;2;1;88;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0
0;73;136;6;77;25;0;0;100;25;4;36;0;3;3;54;100.0;11;1;1;100;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
0;73;190;8;113;27;0;0;100;30;1;23;7;0;0;40;78.0;9;3;1;68;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
0;77;221;17;93;46;0;0;100;51;0;36;17;0;0;41;61.482323;8;1;2;75;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
0;61;190;7;118;34;0;0;82;34;1;50;19;0;0;97;78.0;6;4;4;100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
1;86;242;77;135;14;0;0;100;14;0;36;1;3;3;3;60.50425;2;1;0;43;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;66;132;3;36;34;0;0;100;34;3;26;10;0;0;66;81.0;21;4;5;96;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;64;178;8;108;33;0;0;85;33;2;36;0;4;4;48;78.0;5;3;3;62;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
1;79;245;6;100;35;0;0;100;37;1;43;4;1;1;18;61.0;6;4;0;71;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0
1;76;159;3;84;21;0;0;95;21;1;71;3;1;1;42;69.0;3;3;1;75;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
0;62;27;19;22;3;2;2;100;3;0;100;2;4;4;62;73.91992;3;1;1;100;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1;81;244;3;128;54;0;0;98;56;3;41;0;4;4;25;97.0;6;3;0;90;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;85;241;7;120;36;0;0;100;36;1;39;2;1;1;1;20.0;3;4;0;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;75;160;5;69;12;0;0;100;12;2;42;2;2;2;85;100.0;2;2;2;83;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;72;132;2;65;25;0;0;100;26;3;42;2;3;3;40;70.0;5;3;2;73;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;71;179;4;68;32;1;1;97;33;5;21;1;5;5;43;45.0;12;4;3;76;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;65;256;40;190;23;1;1;85;27;0;52;5;0;0;75;27.0;4;3;1;88;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;55;139;3;65;51;0;0;98;51;3;27;0;11;9;80;73.88;17;2;10;79;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
1;89;137;15;75;14;0;0;100;14;0;0;4;0;0;3;54.11726;3;0;0;50;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;50;222;20;99;24;2;1;81;26;0;38;3;1;1;42;67.0;6;3;2;69;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
1;70;218;3;69;24;1;1;88;33;3;62;0;5;5;69;83.0;8;4;1;100;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
0;55;156;5;65;59;1;1;98;59;5;36;1;11;11;44;91.0;7;5;1;92;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
0;69;82;13;57;15;5;4;67;21;0;71;5;2;2;6;66.0;1;2;-1;75;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
1;62;247;11;93;29;2;2;90;29;1;24;16;0;0;67;63.727486;11;1;3;100;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
